着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),200706050809
1,2,3,マツリダゴッホ,牡4,57,蛯名正義,2:33.6,,**,3-3-3-2,36.3,52.3,9,498(+12),,,,[東] 国枝栄,高橋文枝,18357.0,200706050809
2,4,7,ダイワスカーレット,牝3,53,安藤勝己,2:33.8,1.1/4,**,2-2-2-1,36.6,8.1,5,486(+2),,,,[西] 松田国英,大城敬三,7302.0,200706050809
3,2,4,ダイワメジャー,牡6,57,Ｍデムー,2:34.2,2.1/2,**,8-7-8-4,36.4,15.2,6,538(+10),,,,[東] 上原博之,大城敬三,4551.0,200706050809
4,4,8,ロックドゥカンブ,牡3,53,キネーン,2:34.3,クビ,**,10-9-8-11,36.5,7.5,4,508(+8),,,,[東] 堀宣行,吉田和美,2700.0,200706050809
5,3,6,ポップロック,牡6,57,ペリエ,2:34.5,1.1/4,**,7-7-6-5,36.9,5.0,2,502(0),,,,[西] 角居勝彦,吉田勝己,1800.0,200706050809
6,1,2,ドリームパスポート,牡4,57,高田潤,2:34.8,2,**,15-15-15-11,36.3,20.5,7,474(+4),,,,[西] 松田博資,セゾンレースホース,,200706050809
7,3,5,レゴラス,牡6,57,柴田善臣,2:35.1,2,**,12-12-12-7,37.0,137.6,15,510(0),,,,[東] 加藤征弘,社台レースホース,,200706050809
8,1,1,メイショウサムソン,牡4,57,武豊,2:35.2,3/4,**,11-11-11-11,37.2,2.4,1,520(+2),,,,[西] 高橋成忠,松本好雄,,200706050809
9,6,12,インティライミ,牡5,57,福永祐一,2:35.3,クビ,**,12-12-12-14,37.2,27.4,8,466(-6),,,,[西] 佐々木晶,サンデーレーシング,,200706050809
10,6,11,コスモバルク,牡6,57,松岡正海,2:35.6,2,**,6-6-4-5,38.1,87.6,12,510(0),,,,[地] 田部和則,ビッグレッドファーム,,200706050809
11,8,16,ウオッカ,牝3,53,四位洋文,2:35.7,クビ,**,8-9-8-7,37.9,6.9,3,488(0),,,,[西] 角居勝彦,谷水雄三,,200706050809
12,7,13,デルタブルース,牡6,57,川田将雅,2:35.7,クビ,**,5-5-6-7,38.0,59.6,10,524(-2),,,,[西] 角居勝彦,サンデーレーシング,,200706050809
13,8,15,チョウサン,牡5,57,横山典弘,2:36.3,3.1/2,**,1-1-1-2,39.1,71.1,11,494(0),,,,[東] 清水利章,長山尚義,,200706050809
14,7,14,ハイアーゲーム,牡6,57,ルメール,2:36.6,1.3/4,**,12-14-14-15,38.4,94.1,13,524(+8),,,,[東] 大久保洋,臼田浩義,,200706050809
15,5,9,サンツェッペリン,牡3,55,北村宏司,2:37.4,5,**,3-3-4-7,40.0,111.1,14,474(+2),,,,[東] 斎藤誠,加藤信之,,200706050809
取,5,10,フサイチパンドラ,牝4,55,藤田伸二,,,**,,,---,,計不,,,,[西] 白井寿昭,関口房朗,,200706050809
